License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2020,212,all_deer,SUM,0,0,0,135,88,48,0,14,121,30,54
2020,212,md,N,0,0,0,5,5,0,0,0,5,0,5
2020,212,md,R,0,0,0,50,32,18,0,5,45,23,8
2020,212,md,SUM,0,0,0,55,36,18,0,5,50,23,13
2020,212,wt,N,0,0,0,6,3,3,0,0,6,0,3
2020,212,wt,R,0,0,0,75,49,26,0,9,66,7,39
2020,212,wt,SUM,0,0,0,81,52,29,0,9,72,7,42
2020,213,all_deer,N,0,0,0,30,9,21,0,8,22,5,4
2020,213,all_deer,R,0,0,0,438,183,255,0,39,398,53,130
2020,213,all_deer,SUM,0,0,0,467,191,276,0,47,420,58,134
2020,213,md,N,0,0,0,3,3,0,0,0,3,2,2
2020,213,md,R,0,0,0,138,88,50,0,6,132,37,51
2020,213,md,SUM,0,0,0,141,91,50,0,6,135,39,52
2020,213,wt,N,0,0,0,27,5,21,0,8,19,3,3
2020,213,wt,R,0,0,0,300,95,205,0,34,266,16,79
2020,213,wt,SUM,0,0,0,326,101,226,0,41,285,19,82
2020,214,all_deer,N,0,0,0,6,3,3,0,0,6,0,3
2020,214,all_deer,R,0,0,0,52,48,3,0,2,50,17,31
2020,214,all_deer,SUM,0,0,0,58,51,6,0,2,56,17,34
2020,214,md,N,0,0,0,3,3,0,0,0,3,0,3
2020,214,md,R,0,0,0,20,20,0,0,2,18,9,11
2020,214,md,SUM,0,0,0,23,23,0,0,2,21,9,14
2020,214,wt,N,0,0,0,3,0,3,0,0,3,0,0
2020,214,wt,R,0,0,0,32,29,3,0,0,32,9,20
2020,214,wt,SUM,0,0,0,35,29,6,0,0,35,9,20
2020,215,all_deer,N,0,0,0,20,10,10,0,0,20,5,5
2020,215,all_deer,R,0,0,0,280,159,115,6,3,277,73,85
2020,215,all_deer,SUM,0,0,0,300,168,125,6,3,296,78,90
2020,215,md,N,0,0,0,7,5,3,0,0,7,2,2
2020,215,md,R,0,0,0,93,54,38,0,3,89,30,25
2020,215,md,SUM,0,0,0,100,59,41,0,3,96,32,27
2020,215,wt,N,0,0,0,13,5,8,0,0,13,2,3
2020,215,wt,R,0,0,0,187,104,77,6,0,187,44,61
2020,215,wt,SUM,0,0,0,200,109,84,6,0,200,46,63
2020,216,all_deer,N,0,0,0,24,12,12,0,0,24,9,3
2020,216,all_deer,R,0,0,0,143,113,29,0,8,135,48,63
2020,216,all_deer,SUM,0,0,0,166,125,41,0,8,158,56,66
2020,216,md,N,0,0,0,12,12,0,0,0,12,9,3
2020,216,md,R,0,0,0,61,61,0,0,3,58,34,27
2020,216,md,SUM,0,0,0,73,73,0,0,3,69,43,30
2020,216,wt,N,0,0,0,12,0,12,0,0,12,0,0
2020,216,wt,R,0,0,0,82,52,29,0,5,77,14,35
2020,216,wt,SUM,0,0,0,94,52,41,0,5,89,14,35
2020,217,all_deer,N,0,0,0,9,3,6,0,0,9,3,0
2020,217,all_deer,R,0,0,0,126,51,75,0,0,126,6,46
