"species","length","weight"
"L WF",301,198
"L WF",375,430
"L WF",301,210
"L WF",330,323
"L WF",214,76
"L WF",255,123
"L WF",390,475
"L WF",245,107
"L WF",365,444
"L WF",247,106
"LT",451,977
"L WF",290,191
"L WF",273,150
"L WF",152,28
"L WF",305,225
"L WF",125,14
"L WF",266,135
"L WF",331,342
"LT",770,3503
"L WF",245,110
"L WF",204,59
"L WF",132,15
"L WF",162,27
"LT",446,685
"LT",433,856
"L WF",340,350
"L WF",275,154
"L WF",253,116
"LT",701,2577
"L WF",153,117
"L WF",327,323
"PWF",112,8
"N PMN",241,134
"L WF",500,1278
"PWF",139,19
"L WF",475,1008
"PEA",261,165
"L WF",335,302
"LT",372,462
"PWF",96,5
"PWF",133,15
"N PMN",232,107
"PWF",136,16
"L WF",450,820
"PWF",148,17
"PWF",133,17
"PWF",145,21
"L WF",356,377
"LT",527,1266
"N PMN",231,1115
"PWF",138,21
"RS SH",92,6
"L WF",492,1301
"PWF",142,16
"LT",535,1557
"LT",527,1429
"PWF",135,17
"L WF",480,1175
"L WF",321,242
"PWF",140,19
"PWF",136,19
"PWF",137,18
"PWF",135,16
"PWF",135,17
"N PMN",247,131
"PWF",106,6
"L WF",279,180
"PWF",140,20
"PWF",134,17
"NP",588,1494
"L WF",565,1884
"RS SH",89,5
"PWF",120,11
"RS SH",86,6
"PEA",130,18
"L WF",450,948
"N PMN",293,235
"L WF",435,793
"N PMN",264,155
"L WF",426,661
"RS SH",85,5
"L WF",570,1744
"L WF",325,300
"L WF",420,604
"L WF",502,1106
"L WF",500,1555
"PWF",109,7
"PWF",111,7
"N PMN",105,8
"L WF",408,539
"PWF",141,19
"LT",490,1170
"PWF",140,20
"L WF",520,1580
"RS SH",80,4
"L WF",528,1583
"N PMN",237,108
"PWF",128,14
"LT",610,1765
"LT",680,2452
"L WF",500,1233
"N PMN",210,86
"PWF",144,18
"PWF",136,15
"PWF",130,14
"N PMN",255,147
"L WF",440,837
"PWF",138,17
"RS SH",79,4
"LT",505,1253
"PWF",153,21
"LT",675,2425
"PWF",134,14
"L WF",472,1067
"PWF",104,6
"PWF",129,14
"PWF",110,6
"LT",596,1686
"L WF",426,714
"PWF",145,23
"LT",528,1315
"L WF",420,643
"L WF",318,286
"PWF",136,17
"RS SH",109,10
"PWF",150,21
"PWF",104,6
"L WF",480,1093
"N PMN",259,151
"N PMN",127,14
"RS SH",92,6
"RS SH",90,6
"RS SH",76,4
